Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,34.189,34.617,33.681,34.157,8316900,0.0,0.0
2017-01-04,34.355,34.768,34.149,34.609,7747400,0.0,0.0
2017-01-05,34.538,34.617,33.474,34.292,9883200,0.0,0.0
2017-01-06,34.561,35.014,34.26,34.792,9152800,0.0,0.0
2017-01-09,34.506,34.546,33.863,33.887,11104000,0.0,0.0
2017-01-10,34.101,34.53,33.919,34.165,9074300,0.0,0.0
2017-01-11,34.22,34.649,33.943,34.649,8777100,0.0,0.0
2017-01-12,34.593,34.68,33.99,34.617,8595600,0.0,0.0
2017-01-13,34.926,35.387,34.514,34.76,12904500,0.0,0.0
2017-01-17,34.736,34.784,33.141,33.443,21840400,0.0,0.0
2017-01-18,33.554,34.236,33.308,34.006,15906900,0.0,0.0
2017-01-19,33.776,34.117,33.284,33.681,15040100,0.0,0.0
2017-01-20,33.705,34.014,33.601,33.792,10779600,0.0,0.0
2017-01-23,33.482,33.784,33.149,33.292,12344700,0.0,0.0
2017-01-24,33.387,34.22,33.347,33.903,12164200,0.0,0.0
2017-01-25,34.276,34.831,34.085,34.799,13961000,0.0,0.0
2017-01-26,34.863,35.244,34.712,34.926,10628900,0.0,0.0
2017-01-27,34.871,35.03,34.719,34.791,7635600,0.2,0.0
2017-01-30,34.464,34.504,33.85,34.368,7216200,0.0,0.0
2017-01-31,34.337,34.568,33.731,33.866,10811000,0.0,0.0
2017-02-01,34.512,34.592,33.914,34.034,9731300,0.0,0.0
2017-02-02,33.627,33.882,33.34,33.579,11481000,0.0,0.0
2017-02-03,34.353,35.548,34.209,35.413,16692200,0.0,0.0
2017-02-06,35.277,35.891,35.181,35.572,12577100,0.0,0.0
2017-02-07,35.771,35.891,35.564,35.763,10055700,0.0,0.0
2017-02-08,35.532,35.54,34.767,34.998,10586500,0.0,0.0
2017-02-09,35.349,35.891,34.982,35.747,13166700,0.0,0.0
2017-02-10,35.971,35.986,35.341,35.628,8909400,0.0,0.0
2017-02-13,35.867,36.345,35.819,36.074,13256300,0.0,0.0
2017-02-14,36.018,36.871,35.947,36.696,12958700,0.0,0.0
2017-02-15,36.967,37.262,36.664,37.054,10115100,0.0,0.0
2017-02-16,36.999,37.062,36.505,36.752,10752500,0.0,0.0
2017-02-17,36.305,36.799,36.186,36.783,8310100,0.0,0.0
2017-02-21,36.879,37.222,36.879,37.11,7628400,0.0,0.0
2017-02-22,36.831,37.318,36.776,37.078,7612800,0.0,0.0
2017-02-23,37.126,37.134,36.823,37.126,11877100,0.0,0.0
2017-02-24,36.576,36.624,36.058,36.289,11837200,0.0,0.0
2017-02-27,36.281,36.688,36.234,36.536,7887000,0.0,0.0
2017-02-28,36.345,36.528,35.971,36.401,13789400,0.0,0.0
2017-03-01,37.421,37.596,37.15,37.31,14373700,0.0,0.0
2017-03-02,37.525,37.533,36.696,36.887,8477000,0.0,0.0
2017-03-03,36.879,37.509,36.839,37.325,11404300,0.0,0.0
2017-03-06,37.086,37.174,36.648,37.118,9332600,0.0,0.0
2017-03-07,37.182,37.294,36.831,36.927,9411000,0.0,0.0
2017-03-08,37.437,37.724,36.935,36.975,11464700,0.0,0.0
2017-03-09,37.142,37.557,37.094,37.206,11135400,0.0,0.0
2017-03-10,37.493,37.533,36.831,37.054,8579400,0.0,0.0
2017-03-13,37.206,37.262,36.847,36.871,7160400,0.0,0.0
2017-03-14,36.871,36.871,36.449,36.815,6916200,0.0,0.0
2017-03-15,36.871,37.166,36.409,36.544,10796100,0.0,0.0
2017-03-16,36.799,37.134,36.68,36.927,9284100,0.0,0.0
2017-03-17,36.871,36.951,35.811,35.883,13474500,0.0,0.0
2017-03-20,35.66,35.835,35.333,35.54,9734200,0.0,0.0
2017-03-21,35.684,35.811,33.811,34.002,20018400,0.0,0.0
