Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,88.205,88.889,86.17,86.55,3824300,0.0,0.0
2017-01-04,86.863,88.062,86.542,87.074,3668300,0.0,0.0
2017-01-05,86.981,87.26,85.453,86.221,4180400,0.0,0.0
2017-01-06,86.137,87.606,85.436,87.116,3862400,0.0,0.0
2017-01-09,87.572,87.58,86.027,86.466,2968600,0.0,0.0
2017-01-10,86.584,88.002,86.035,87.31,3562700,0.0,0.0
2017-01-11,87.251,88.501,86.981,88.028,2864800,0.0,0.0
2017-01-12,88.028,88.61,87.251,88.391,2397000,0.0,0.0
2017-01-13,88.23,89.024,88.036,88.855,2743400,0.0,0.0
2017-01-17,88.391,88.492,86.829,87.268,3401800,0.0,0.0
2017-01-18,86.331,88.112,85.715,87.606,5363900,0.0,0.0
2017-01-19,91.354,92.004,89.016,89.691,10103900,0.0,0.0
2017-01-20,90.189,91.717,90.003,91.683,6440000,0.0,0.0
2017-01-23,91.717,91.717,90.273,91.168,3932200,0.0,0.0
2017-01-24,91.303,92.232,90.839,91.785,4564900,0.0,0.0
2017-01-25,92.266,93.709,92.029,93.22,5137900,0.0,0.0
2017-01-26,93.076,94.03,92.426,92.992,4607200,0.0,0.0
2017-01-27,93.161,93.169,91.295,92.19,3555400,0.0,0.0
2017-01-30,91.97,91.987,89.775,91.177,5334200,0.0,0.0
2017-01-31,91.287,91.666,89.674,89.978,4534600,0.0,0.0
2017-02-01,90.366,91.236,89.826,90.923,4374500,0.0,0.0
2017-02-02,90.501,90.822,89.404,90.586,4225900,0.0,0.0
2017-02-03,90.738,91.886,90.628,91.607,3249600,0.0,0.0
2017-02-06,91.481,91.759,90.822,90.915,2858100,0.0,0.0
2017-02-07,91.337,91.818,90.628,90.881,3493400,0.0,0.0
2017-02-08,90.772,91.118,89.716,90.62,3901400,0.0,0.0
2017-02-09,90.62,91.075,90.434,90.687,3603900,0.0,0.0
2017-02-10,91.075,91.59,90.932,91.067,2778000,0.0,0.0
2017-02-13,91.253,92.274,91.084,91.447,2640000,0.0,0.0
2017-02-14,91.236,92.156,90.957,92.156,2890300,0.0,0.0
2017-02-15,91.624,92.857,91.32,92.679,3352900,0.0,0.0
2017-02-16,92.426,92.865,91.599,92.35,2811100,0.0,0.0
2017-02-17,92.384,92.713,91.143,92.713,4246300,0.0,0.0
2017-02-21,92.865,93.557,92.316,92.587,4169800,0.0,0.0
2017-02-22,92.173,92.392,91.135,91.911,4206100,0.0,0.0
2017-02-23,92.139,92.443,89.708,90.079,4876600,0.0,0.0
2017-02-24,89.667,91.493,89.294,91.476,4632500,0.605,0.0
2017-02-27,91.544,91.697,90.406,91.272,3288500,0.0,0.0
2017-02-28,91.298,91.765,90.924,91.646,3756600,0.0,0.0
2017-03-01,92.58,93.947,92.58,93.488,4064900,0.0,0.0
2017-03-02,93.437,93.599,92.469,92.588,2739700,0.0,0.0
2017-03-03,92.614,92.783,91.9,92.563,2304900,0.0,0.0
2017-03-06,92.342,93.089,92.121,92.911,2989100,0.0,0.0
2017-03-07,92.631,92.987,91.833,92.002,3331200,0.0,0.0
2017-03-08,92.002,92.087,90.347,90.601,3454900,0.0,0.0
2017-03-09,90.686,90.967,89.778,90.151,4131200,0.0,0.0
2017-03-10,90.754,90.839,89.761,90.236,3316200,0.0,0.0
2017-03-13,90.304,90.669,89.956,90.381,3514800,0.0,0.0
2017-03-14,89.956,90.236,88.572,88.615,4303800,0.0,0.0
2017-03-15,88.801,90.117,88.385,89.642,3496100,0.0,0.0
2017-03-16,89.574,90.27,89.15,89.532,3645300,0.0,0.0
2017-03-17,89.515,90.041,89.234,89.99,11395400,0.0,0.0
2017-03-20,89.786,89.982,89.15,89.217,3444900,0.0,0.0
2017-03-21,89.523,89.667,87.621,88.003,3846300,0.0,0.0
2017-03-22,87.918,88.725,87.511,88.351,4101200,0.0,0.0
2017-03-23,88.292,89.268,87.961,88.19,2587700,0.0,0.0
2017-03-24,88.292,88.818,87.825,88.267,2734700,0.0,0.0
2017-03-27,87.367,88.742,86.951,88.317,3812000,0.0,0.0
2017-03-28,88.343,89.905,88.156,89.574,4237100,0.0,0.0
2017-03-29,88.988,90.143,88.649,89.642,2905000,0.0,0.0
2017-03-30,89.778,91.238,89.421,90.797,2961000,0.0,0.0
2017-03-31,90.831,90.924,89.914,89.931,2888300,0.0,0.0
2017-04-03,90.134,90.661,89.217,89.574,2889000,0.0,0.0
2017-04-04,89.752,91.051,89.26,91.017,3445400,0.0,0.0
2017-04-05,91.654,93.004,90.483,90.644,2938100,0.0,0.0
2017-04-06,88.971,91.179,88.954,90.907,4556100,0.0,0.0
2017-04-07,91.128,91.51,90.483,90.873,2205000,0.0,0.0
2017-04-10,91.332,92.028,91.23,91.374,2631700,0.0,0.0
2017-04-11,91.026,91.501,90.219,91.366,2298800,0.0,0.0
2017-04-12,91.765,91.807,89.557,89.634,3046400,0.0,0.0
2017-04-13,89.574,90.058,88.963,88.963,2372700,0.0,0.0
2017-04-17,89.065,90.007,88.402,89.982,2773900,0.0,0.0
2017-04-18,89.557,90.576,89.311,90.202,2767000,0.0,0.0
2017-04-19,90.669,91.51,90.228,90.669,3344300,0.0,0.0
2017-04-20,91.841,92.843,91.586,91.612,4201600,0.0,0.0
2017-04-21,91.866,92.359,91.383,91.934,3144000,0.0,0.0
2017-04-24,92.97,93.378,92.682,92.826,3218000,0.0,0.0
2017-04-25,92.826,94.04,92.597,93.802,3990700,0.0,0.0
2017-04-26,93.862,95.059,93.25,93.539,6303700,0.0,0.0
2017-04-27,95.11,97.767,94.999,96.392,5156600,0.0,0.0
2017-04-28,96.392,96.749,94.507,95.059,3554700,0.0,0.0
2017-05-01,95.458,95.67,94.753,94.753,2888300,0.0,0.0
2017-05-02,94.881,95.331,94.193,94.32,3820300,0.0,0.0
2017-05-03,93.955,94.422,93.683,94.142,2696500,0.0,0.0
2017-05-04,94.422,94.753,93.497,93.675,2627800,0.0,0.0
2017-05-05,93.896,94.032,93.497,94.006,3078900,0.0,0.0
2017-05-08,93.726,94.066,93.182,93.412,3426100,0.0,0.0
2017-05-09,93.276,93.921,92.987,93.361,2423600,0.0,0.0
2017-05-10,93.497,93.497,92.52,92.817,3551200,0.0,0.0
2017-05-11,92.537,93.921,92.325,93.48,3837700,0.0,0.0
2017-05-12,93.098,94.066,93.098,93.802,3609900,0.0,0.0
2017-05-15,93.87,94.694,93.819,94.482,2477500,0.0,0.0
2017-05-16,94.855,94.949,93.904,94.244,2567900,0.0,0.0
2017-05-17,94.244,94.244,90.321,90.474,4445100,0.0,0.0
